name,source,rated_power_kW_used,rated_power_MW_used,power_unit_original_csv,rated_capacity_source,onshore_offshore
Anholt,entsoe,399600.0,399.6,MW,xlsx_equipment_count_times_rated_kw,Offshore
BALDHWF1,aemo,106600.0,106.6,MW,xlsx_equipment_count_times_rated_kw,Onshore
BANC DE GUERANDE 1,entsoe,240000.0,240.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
BANC DE GUERANDE 2,entsoe,240000.0,240.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
BLUFF1,aemo,64750.0,64.75,MW,xlsx_equipment_count_times_rated_kw,Onshore
BOCORWF1,aemo,113000.0,113.0,MW,xlsx_equipment_count_times_rated_kw,Onshore
BOWLW-1,entsoe,90000.0,90.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
BRBEO-1,entsoe,256000.0,256.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
BRDUW-1,entsoe,72000.0,72.0,MW,xlsx_equipment_count_times_rated_kw,Onshore
BRYBW-1,entsoe,66700.0,66.7,MW,xlsx_equipment_count_times_rated_kw,Onshore
BURBW-1,entsoe,90000.0,90.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
Belwind Phase 1,entsoe,171000.0,171.0,MW,xlsx_equipment_count_times_rated_kw,Offshore
CAPTL_WF,aemo,140700.0,140.7,MW,xlsx_equipment_count_times_rated_kw,Onshore
CATHROCK,aemo,62000.0,62.0,MW,xlsx_equipment_count_times_rated_kw,Onshore
CHALLHWF,aemo,52500.0,52.5,MW,xlsx_equipment_count_times_rated_kw,Onshore
CLDNW-1,entsoe,220800.0,220.8,MW,xlsx_equipment_count_times_rated_kw,Onshore
CLDSW-1,entsoe,128800.00000000001,128.8,MW,xlsx_equipment_count_times_rated_kw,Onshore
CLEMGPWF,aemo,56700.0,56.7,MW,xlsx_equipment_count_times_rated_kw,Onshore
CNUNDAWF,aemo,46000.0,46.0,MW,xlsx_equipment_count_times_rated_kw,Onshore
CULLRGWF,aemo,30450.0,30.45,MW,xlsx_equipment_count_times_rated_kw,Onshore
DK_KF_AB_GU,entsoe,604800.0,604.8,MW,xlsx_equipment_count_times_rated_kw,Offshore
GRGBW-1,entsoe,169200.0,169.2,MW,xlsx_equipment_count_times_rated_kw_approximate_count,Offshore
GRGBW-2,entsoe,169200.0,169.2,MW,xlsx_equipment_count_times_rated_kw_approximate_count,Offshore
GRGBW-3,entsoe,165600.0,165.6,MW,xlsx_equipment_count_times_rated_kw_approximate_count,Offshore
GULLRWF1,aemo,165500.0,165.5,MW,xlsx_equipment_count_times_rated_kw,Onshore
GUNNING1,aemo,46500.0,46.5,MW,xlsx_equipment_count_times_rated_kw,Onshore
