dataset_id,farm_name,excel_row,source,site_type,rated_capacity_mw,turbine_count,turbine_group_count,capacity_approximate,is_virtual,in_manifest_131,match_method,capacity_group,reference_model_count,capacity_formula_mw,latitude,longitude,climate,rotor_m_minimum,rotor_m_maximum,rotor_m_weighted_mean,rotor_m_variants,rotor_m_unknown_turbines,blade_m_minimum,blade_m_maximum,blade_m_weighted_mean,blade_m_variants,blade_m_unknown_turbines,hub_m_minimum,hub_m_maximum,hub_m_weighted_mean,hub_m_variants,hub_m_unknown_turbines
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,2,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,44.5977,-68.8958,"Humid continental climate, warm summer",100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,3,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,32.7639,-85.2067,Humid subtropical climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site121764_Washington-Klickitat_class2_16MW_2007-2013,Washington-Klickitat_class2,4,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,45.9162,-120.3245,Warm-summer Mediterranean continental climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site122002_Maine-Piscataquis_class3_12MW_2007-2013,Maine-Piscataquis_class3,5,nrel_wtk,onshore,12.0,6,1,False,True,True,coordinates,<50 MW,3,6×2,45.4272,-69.3797,"Humid continental climate, warm summer",100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site126058_Montana-Glacier_class2_2MW_2007-2013,Montana-Glacier_class2,6,nrel_wtk,onshore,2.0,1,1,False,True,True,coordinates,<50 MW,4,1×2,48.7755,-113.4839,Subarctic climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site126185_Montana-Glacier_class1_14MW_2007-2013,Montana-Glacier_class1,7,nrel_wtk,onshore,14.0,7,1,False,True,True,coordinates,<50 MW,4,7×2,48.9027,-113.5268,Subarctic climate,80.0,101.0,,3,0,39.0,49.0,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site1415_Florida-MiamiDade_class3_16MW_2007-2013,Florida-MiamiDade_class3,8,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,25.8253,-80.1631,Tropical monsoon climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site14725_SouthCarolina-Bamberg_class3_16MW_2007-2013,SouthCarolina-Bamberg_class3,9,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,33.3444,-81.1779,Humid subtropical climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site15559_California-Imperial_class1_2MW_2007-2013,California-Imperial_class1,10,nrel_wtk,onshore,2.0,1,1,False,True,True,coordinates,<50 MW,4,1×2,32.6461,-116.0851,Cold semi-arid climate,80.0,101.0,,3,0,39.0,49.0,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site16069_Oklahoma-Comanche_class1_2MW_2007-2013,Oklahoma-Comanche_class1,11,nrel_wtk,onshore,2.0,1,1,False,True,True,coordinates,<50 MW,4,1×2,34.8153,-98.8,Humid subtropical climate,80.0,101.0,,3,0,39.0,49.0,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site17501_Georgia-Pickens_class3_16MW_2007-2013,Georgia-Pickens_class3,12,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,34.4165,-84.5311,Humid subtropical climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site19095_Oklahoma-Grady_class2_16MW_2007-2013,Oklahoma-Grady_class2,13,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,35.2962,-97.854,Humid subtropical climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site20092_Arizona-Apache_class3_16MW_2007-2013,Arizona-Apache_class3,14,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,34.4974,-109.6858,Cold semi-arid climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site22664_Arkansas-Washington_class3_16MW_2007-2013,Arkansas-Washington_class3,15,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,35.8842,-94.1745,Humid subtropical climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site24924_Atlantic-Offshore_16MW_2007-2013,Atlantic-Offshore,16,nrel_wtk,offshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,34.3099,-76.5849,Humid subtropical climate,107.0,126.0,,3,0,52.0,61.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site26558_Oklahoma-Ellis_class2_16MW_2007-2013,Oklahoma-Ellis_class2,17,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,36.4884,-99.8581,Humid subtropical climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site27707_Offshore-Pacific-CA_offshore_16MW_2007-2013,Offshore-Pacific-CA_offshore,18,nrel_wtk,offshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,33.6731,-120.2107,Warm-summer Mediterranean climate,107.0,126.0,,3,0,52.0,61.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site29477_NorthCarolina-Carteret_class2_16MW_2007-2013,NorthCarolina-Carteret_class2,19,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,34.936,-76.4188,Humid subtropical climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site29715_Tennessee-Campbell_class3_8MW_2007-2013,Tennessee-Campbell_class3,20,nrel_wtk,onshore,8.0,4,1,False,True,True,coordinates,<50 MW,3,4×2,36.2367,-84.2508,"Humid continental climate, warm summer",100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site3044_Offshore-Gulf-LA_offshore_16MW_2007-2013,Offshore-Gulf-LA_offshore,21,nrel_wtk,offshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,28.6101,-90.9365,Humid subtropical climate,107.0,126.0,,3,0,52.0,61.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site31505_NewMexico-Union_class2_12MW_2007-2013,NewMexico-Union_class2,22,nrel_wtk,onshore,12.0,6,1,False,True,True,coordinates,<50 MW,4,6×2,36.8763,-103.4367,Cold semi-arid climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site33345_California-SanBernardino_class2_16MW_2007-2013,California-SanBernardino_class2,23,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,35.1982,-116.9362,Cold desert climate,82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site34260_Offshore-NC-OuterBanks_offshore_16MW_2007-2013,Offshore-NC-OuterBanks_offshore,24,nrel_wtk,offshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,35.3293,-75.2303,Humid subtropical climate,107.0,126.0,,3,0,52.0,61.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site34947_Kansas-Kiowa_class1_2MW_2007-2013,Kansas-Kiowa_class1,25,nrel_wtk,onshore,2.0,1,1,False,True,True,coordinates,<50 MW,4,1×2,37.536,-99.4561,"Humid continental climate, hot summer",80.0,101.0,,3,0,39.0,49.0,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site38019_Virginia-Patrick_class1_4MW_2007-2013,Virginia-Patrick_class1,26,nrel_wtk,onshore,4.0,2,1,False,True,True,coordinates,<50 MW,4,2×2,36.7959,-80.3425,Humid subtropical climate,80.0,101.0,,3,0,39.0,49.0,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site38405_Kansas-Hodgeman_class2_6MW_2007-2013,Kansas-Hodgeman_class2,27,nrel_wtk,onshore,6.0,3,1,False,True,True,coordinates,<50 MW,4,3×2,38.029,-99.6239,"Humid continental climate, hot summer",82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
NREL_WTK_site39062_Kentucky-Madison_class3_16MW_2007-2013,Kentucky-Madison_class3,28,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,3,8×2,37.5263,-84.2923,Humid subtropical climate,100.0,114.0,,2,0,48.7,55.5,,3,0,100.0,100.0,100.0,1,0
NREL_WTK_site39241_Kansas-Chase_class2_16MW_2007-2013,Kansas-Chase_class2,29,nrel_wtk,onshore,16.0,8,1,False,True,True,coordinates,<50 MW,4,8×2,38.2396,-96.5999,"Humid continental climate, hot summer",82.5,112.0,,4,0,40.0,54.6,,4,0,100.0,100.0,100.0,1,0
