name,source,original_csv_path,original_exists,original_kind,original_note,original_size_bytes,rec_n_raw_15,rec_n_segments,rec_longest_seg_path
Anholt,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/Anholt.csv,True,entsoe_full,aligned 未切割全序列,16399120,100962,12,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/Anholt_seg004.csv
BALDHWF1,aemo,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BALDHWF1_seg001.csv,True,aemo_seg001_as_full,AEMO 无 full/；n_segments=1 时 seg001 即未切割全序列,1690419,35040,1,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BALDHWF1_seg001.csv
BANC DE GUERANDE 1,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BANC DE GUERANDE 1.csv,True,entsoe_full,aligned 未切割全序列,5336246,31512,22,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BANC DE GUERANDE 1_seg020.csv
BANC DE GUERANDE 2,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BANC DE GUERANDE 2.csv,True,entsoe_full,aligned 未切割全序列,5335297,31629,29,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BANC DE GUERANDE 2_seg026.csv
BLUFF1,aemo,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BLUFF1_seg001.csv,True,aemo_seg001_as_full,AEMO 无 full/；n_segments=1 时 seg001 即未切割全序列,1659262,35040,1,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BLUFF1_seg001.csv
BOCORWF1,aemo,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BOCORWF1_seg001.csv,True,aemo_seg001_as_full,AEMO 无 full/；n_segments=1 时 seg001 即未切割全序列,1693586,35040,1,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/aemo/segments/BOCORWF1_seg001.csv
BOWLW-1,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BOWLW-1.csv,True,entsoe_full,aligned 未切割全序列,10107178,85069,110,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BOWLW-1_seg101.csv
BRBEO-1,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BRBEO-1.csv,True,entsoe_full,aligned 未切割全序列,7030715,53305,56,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BRBEO-1_seg048.csv
BRDUW-1,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BRDUW-1.csv,True,entsoe_full,aligned 未切割全序列,10118065,84031,115,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BRDUW-1_seg106.csv
BRYBW-1,entsoe,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/full/BRYBW-1.csv,True,entsoe_full,aligned 未切割全序列,10106717,86078,115,/ve-remi-dmz-dmz-sh-nas01/data/de_group/ghz_11401/data/wind_timeseries/aligned_15min/entsoe/segments/BRYBW-1_seg107.csv
