dataset_id,farm_name,record_kind,group_index,source,site_type,excel_row,model,count,rated_kw,rotor_m,blade_m,hub_m,approximate_count,rotor_approx,blade_approx,hub_approx,basis
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,unit_group,1,nrel_wtk,onshore,2,IEC Class 3 power curve,8.0,2000.0,,,100.0,False,False,False,False,virtual_turbine
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,reference_model,1,nrel_wtk,onshore,2,Vestas V100-1.8,,,100.0,49.0,100.0,False,False,True,False,fitted_model_reference
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,reference_model,2,nrel_wtk,onshore,2,GE 1.6-100,,,100.0,48.7,100.0,False,False,False,False,fitted_model_reference
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,reference_model,3,nrel_wtk,onshore,2,REpower 3.2M114,,,114.0,55.5,100.0,False,False,True,False,fitted_model_reference
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,unit_group,1,nrel_wtk,onshore,3,IEC Class 3 power curve,8.0,2000.0,,,100.0,False,False,False,False,virtual_turbine
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,reference_model,1,nrel_wtk,onshore,3,Vestas V100-1.8,,,100.0,49.0,100.0,False,False,True,False,fitted_model_reference
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,reference_model,2,nrel_wtk,onshore,3,GE 1.6-100,,,100.0,48.7,100.0,False,False,False,False,fitted_model_reference
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,reference_model,3,nrel_wtk,onshore,3,REpower 3.2M114,,,114.0,55.5,100.0,False,False,True,False,fitted_model_reference
NREL_WTK_site121764_Washington-Klickitat_class2_16MW_2007-2013,Washington-Klickitat_class2,unit_group,1,nrel_wtk,onshore,4,IEC Class 2 power curve,8.0,2000.0,,,100.0,False,False,False,False,virtual_turbine
NREL_WTK_site121764_Washington-Klickitat_class2_16MW_2007-2013,Washington-Klickitat_class2,reference_model,1,nrel_wtk,onshore,4,Vestas V112-3.0,,,112.0,54.6,100.0,False,False,True,False,fitted_model_reference
